Random_Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-06-21,Food,Debit Card,Dinner at a restaurant,597.11,6.11
2024-06-09,Food,Net Banking,Snacks for cravings,638.56,26.21
2024-06-16,Gifts,UPI,Anniversary gift,501.41,44.49
2024-06-01,Investment,Debit Card,Retirement account contribution,639.66,0.0
2024-06-06,Bills,Credit Card,Mobile phone bill,741.63,65.8
2024-06-29,Entertainment,Credit Card,Video game purchase,567.24,33.29
2024-06-17,Gifts,Credit Card,Gift for a colleague,798.8,42.73
2024-06-28,Personal,Cash,Personal care products,474.05,45.88
2024-06-28,Food,Debit Card,Lunch with friends,376.02,14.9
2024-06-26,Transportation,Debit Card,Taxi fare to a meeting,855.25,45.76
2024-06-25,Travel,UPI,Flight tickets to a destination,542.15,28.92
2024-06-07,Subscriptions,Cash,Online course fee,319.31,21.71
2024-06-13,Personal,Credit Card,Personal care products,642.39,20.5
2024-06-06,Subscriptions,UPI,Gym membership,991.79,92.14
2024-06-26,Entertainment,Cash,Movie tickets for the weekend,237.78,8.26
2024-06-22,Gifts,Debit Card,Gift for a colleague,724.73,48.4
2024-06-02,Entertainment,Net Banking,Video game purchase,641.38,21.72
2024-06-15,Transportation,Credit Card,Gas for the car,438.66,12.13
2024-06-18,Bills,Debit Card,Insurance premium payment,50.83,3.52
2024-06-18,Gifts,Debit Card,Gift for a colleague,578.83,16.69
2024-06-24,Transportation,Net Banking,Gas for the car,300.1,9.4
2024-06-17,Groceries,Net Banking,Household supplies,308.17,19.66
2024-06-24,Personal,UPI,Books and stationery,535.51,22.64
2024-06-25,Investment,UPI,Real estate investment,903.21,0.0
2024-06-08,Entertainment,UPI,Streaming service subscription,825.74,15.55
2024-06-02,Travel,Debit Card,Sightseeing tour tickets,551.11,47.39
2024-06-02,Investment,Net Banking,Retirement account contribution,864.92,0.0
2024-06-18,Investment,Debit Card,Stock purchase,698.6,0.0
2024-06-02,Bills,Net Banking,Water bill payment,614.45,41.01
2024-06-11,Travel,Net Banking,Travel insurance,49.26,3.82
2024-06-10,Entertainment,Credit Card,Streaming service subscription,370.63,17.35
2024-06-24,Travel,Credit Card,Travel insurance,432.06,43.07
2024-06-22,Investment,Credit Card,Real estate investment,739.37,0.0
2024-06-17,Personal,Debit Card,Books and stationery,646.43,60.26
2024-06-01,Investment,Net Banking,Dividend reinvestment,114.25,0.0
2024-06-27,Transportation,UPI,Taxi fare to a meeting,958.97,24.77
2024-06-27,Bills,UPI,Water bill payment,389.19,35.54
2024-06-26,Entertainment,Net Banking,Concert tickets,822.71,16.67
2024-06-05,Investment,Net Banking,Mutual fund contribution,914.24,0.0
2024-06-20,Bills,UPI,Water bill payment,882.83,57.98
2024-06-14,Food,Debit Card,Takeout from a local diner,189.19,2.72
2024-06-05,Bills,Debit Card,Mobile phone bill,987.4,89.29
2024-06-02,Food,Debit Card,Takeout from a local diner,407.18,13.01
2024-06-04,Food,Net Banking,Coffee and pastries at a café,148.34,9.67
2024-06-16,Gifts,Debit Card,Gift for a colleague,799.18,55.75
2024-06-10,Groceries,Cash,Snacks and drinks for the week,364.96,11.85
2024-06-08,Gifts,Cash,Anniversary gift,963.31,78.6
2024-06-28,Food,Cash,Lunch with friends,214.46,4.68
2024-06-11,Travel,Net Banking,Sightseeing tour tickets,787.06,17.73
2024-06-21,Groceries,Credit Card,Snacks and drinks for the week,171.6,3.86
2024-06-09,Personal,Credit Card,Books and stationery,869.01,28.14
2024-06-03,Investment,Debit Card,Retirement account contribution,485.41,0.0
2024-06-03,Bills,Cash,Mobile phone bill,275.61,1.69
2024-06-20,Subscriptions,Net Banking,Streaming service subscription,582.17,20.12
2024-06-01,Food,Debit Card,Snacks for cravings,223.47,1.43
2024-06-01,Bills,UPI,Internet service charge,762.99,54.85
2024-06-03,Transportation,Credit Card,Uber ride to the airport,356.18,1.69
2024-06-05,Gifts,Credit Card,Holiday gift,599.96,6.5
2024-06-01,Travel,Credit Card,Car rental for the trip,665.46,15.98
2024-06-02,Entertainment,UPI,Streaming service subscription,94.46,8.15
2024-06-03,Food,Credit Card,Snacks for cravings,810.21,70.86
2024-06-03,Transportation,Credit Card,Gas for the car,137.99,0.35
2024-06-03,Groceries,Cash,Snacks and drinks for the week,255.94,2.05
2024-06-03,Personal,Net Banking,Personal care products,124.25,4.6
2024-06-04,Gifts,Credit Card,Birthday gift for a friend,366.21,22.96
2024-06-05,Gifts,UPI,Birthday gift for a friend,433.4,43.0
2024-06-19,Groceries,Cash,Buying meat and dairy products,302.32,18.21
2024-06-29,Personal,Cash,Hobby supplies,780.17,26.34
2024-06-05,Groceries,UPI,Weekly grocery shopping,806.19,33.13
2024-06-10,Subscriptions,Net Banking,Gym membership,102.18,6.63
2024-06-10,Groceries,Credit Card,Snacks and drinks for the week,477.09,42.12
2024-06-24,Entertainment,UPI,Movie tickets for the weekend,399.65,36.42
2024-06-13,Food,Cash,Snacks for cravings,313.99,7.48
2024-06-10,Personal,Credit Card,Hobby supplies,493.8,40.58
2024-07-10,Groceries,Cash,Snacks and drinks for the week,466.47,13.76
2024-07-24,Transportation,Net Banking,Uber ride to the airport,988.17,3.23
2024-07-12,Gifts,Credit Card,Holiday gift,495.74,15.65
2024-07-26,Personal,Net Banking,Personal care products,564.51,37.65
2024-07-28,Travel,Credit Card,Travel insurance,10.87,0.36
2024-07-13,Transportation,Debit Card,Parking fees,249.95,22.39
2024-07-26,Personal,UPI,Hobby supplies,940.97,75.85
2024-07-03,Food,Cash,Takeout from a local diner,429.5,14.95
2024-07-27,Personal,Net Banking,Books and stationery,988.15,57.28
2024-07-27,Transportation,Debit Card,Taxi fare to a meeting,492.4,8.82
2024-07-13,Investment,Cash,Real estate investment,282.18,0.0
2024-07-19,Groceries,Cash,Household supplies,562.3,6.06
2024-07-15,Groceries,UPI,Buying meat and dairy products,765.3,14.26
2024-07-19,Entertainment,Cash,Dining out with friends,641.52,42.9
2024-07-18,Groceries,Credit Card,Buying meat and dairy products,410.4,6.79
2024-07-09,Gifts,Cash,Charity donation,558.99,19.16
2024-07-28,Personal,Cash,Hobby supplies,237.09,5.4
2024-07-11,Gifts,Debit Card,Holiday gift,351.15,34.57
2024-07-26,Entertainment,UPI,Movie tickets for the weekend,826.76,30.15
2024-07-23,Groceries,Credit Card,Buying meat and dairy products,80.58,4.18
2024-07-09,Travel,Debit Card,Sightseeing tour tickets,32.9,3.04
2024-07-22,Travel,UPI,Car rental for the trip,532.27,42.51
2024-07-28,Gifts,Credit Card,Gift for a colleague,696.07,15.29
2024-07-15,Subscriptions,Debit Card,Monthly magazine subscription,60.04,2.16
2024-07-02,Food,UPI,Coffee and pastries at a café,610.51,59.04
2024-07-14,Bills,Credit Card,Insurance premium payment,519.34,6.51
2024-07-09,Bills,Credit Card,Insurance premium payment,533.67,46.17
2024-07-27,Personal,UPI,Hobby supplies,890.05,51.79
2024-07-07,Entertainment,Debit Card,Concert tickets,412.84,20.25
2024-07-08,Groceries,Credit Card,Snacks and drinks for the week,498.69,20.79
2024-07-23,Travel,Cash,Flight tickets to a destination,890.63,26.95
2024-07-08,Personal,Debit Card,Personal care products,308.6,2.48
2024-07-28,Investment,Cash,Dividend reinvestment,323.81,0.0
2024-07-08,Investment,Credit Card,Dividend reinvestment,511.03,0.0
2024-07-05,Personal,Net Banking,Hobby supplies,684.97,47.23
2024-07-26,Food,Credit Card,Lunch with friends,130.43,7.73
2024-07-08,Groceries,Net Banking,Buying meat and dairy products,448.94,27.28
2024-07-09,Food,Debit Card,Coffee and pastries at a café,502.06,3.35
2024-07-10,Personal,Credit Card,Hobby supplies,536.34,6.15
2024-07-14,Food,Credit Card,Lunch with friends,956.9,20.24
2024-07-04,Bills,Debit Card,Electricity bill payment,555.12,53.87
2024-07-02,Investment,Cash,Investment in startup,103.18,0.0
2024-07-14,Subscriptions,Debit Card,Gym membership,231.13,19.85
2024-07-16,Entertainment,Net Banking,Movie tickets for the weekend,587.77,2.6
2024-07-29,Travel,UPI,Car rental for the trip,50.91,4.67
2024-07-26,Personal,Cash,Clothing purchase,634.27,20.86
2024-07-16,Investment,Net Banking,Stock purchase,54.12,0.0
2024-07-15,Transportation,Net Banking,Uber ride to the airport,520.94,10.03
2024-07-02,Groceries,Debit Card,Household supplies,741.06,53.0
2024-07-18,Investment,Credit Card,Bond investment,299.47,0.0
2024-07-06,Subscriptions,UPI,Online course fee,693.7,23.35
2024-07-10,Gifts,Credit Card,Gift for a colleague,536.35,44.82
2024-07-09,Bills,Cash,Water bill payment,29.41,1.91
2024-07-02,Bills,Credit Card,Insurance premium payment,685.7,45.02
2024-07-21,Bills,Debit Card,Internet service charge,456.64,27.01
2024-07-09,Entertainment,Debit Card,Video game purchase,845.4,4.01
2024-07-08,Investment,Cash,Retirement account contribution,446.28,0.0
2024-07-04,Travel,Net Banking,Flight tickets to a destination,775.48,75.06
2024-07-12,Food,Net Banking,Lunch with friends,670.31,65.05
2024-07-20,Groceries,Debit Card,Buying fresh produce,321.57,23.87
2024-07-14,Gifts,Credit Card,Anniversary gift,520.51,31.66
2024-07-09,Personal,Credit Card,Books and stationery,474.53,21.73
2024-07-14,Investment,Cash,Real estate investment,896.9,0.0
2024-07-29,Groceries,UPI,Household supplies,382.0,2.57
2024-07-19,Groceries,UPI,Household supplies,651.18,52.69
2024-07-29,Investment,Net Banking,Dividend reinvestment,708.92,0.0
2024-07-10,Transportation,Credit Card,Gas for the car,694.78,35.68
2024-07-12,Subscriptions,Net Banking,Streaming service subscription,453.96,11.57
2024-07-10,Subscriptions,Net Banking,Online course fee,547.3,27.2
2024-07-28,Groceries,Cash,Buying meat and dairy products,823.45,30.36
2024-07-13,Entertainment,UPI,Concert tickets,189.87,17.74
2024-07-29,Entertainment,Net Banking,Dining out with friends,318.81,0.63
2024-07-17,Travel,UPI,Travel insurance,398.67,17.02
2024-07-07,Bills,Net Banking,Internet service charge,818.16,81.23
2024-07-25,Travel,Debit Card,Travel insurance,98.36,7.15
2024-07-28,Food,Debit Card,Snacks for cravings,884.48,34.52
2024-07-23,Bills,Cash,Insurance premium payment,154.8,7.88
2024-07-15,Gifts,UPI,Holiday gift,493.57,14.31
2024-07-21,Entertainment,Credit Card,Video game purchase,689.1,15.45
2024-07-24,Transportation,UPI,Taxi fare to a meeting,789.82,28.81
2024-07-30,Travel,Credit Card,Car rental for the trip,11.72,0.76
2024-07-09,Bills,Cash,Mobile phone bill,469.99,19.29
2024-07-08,Personal,UPI,Clothing purchase,835.14,22.36
2024-07-01,Investment,Net Banking,Real estate investment,808.16,0.0
2024-07-23,Subscriptions,Credit Card,Online course fee,329.63,22.02
2024-07-22,Investment,Net Banking,Stock purchase,963.22,0.0
2024-07-28,Travel,UPI,Car rental for the trip,234.89,5.93
2024-07-09,Bills,Cash,Water bill payment,242.46,0.37
2024-07-09,Travel,UPI,Flight tickets to a destination,927.85,70.04
2024-07-18,Subscriptions,Debit Card,Software subscription,512.8,5.64
2024-07-10,Subscriptions,Cash,Online course fee,764.16,19.56
2024-07-02,Food,UPI,Takeout from a local diner,380.82,33.73
2024-07-22,Transportation,Cash,Uber ride to the airport,528.09,8.2
2024-07-24,Groceries,UPI,Snacks and drinks for the week,951.22,63.88
2024-07-29,Food,Net Banking,Snacks for cravings,60.86,2.22
2024-07-14,Gifts,UPI,Birthday gift for a friend,424.79,5.78
2024-07-29,Bills,Net Banking,Insurance premium payment,181.57,12.85
2024-07-26,Subscriptions,Credit Card,Online course fee,865.26,65.34
2024-07-03,Groceries,UPI,Snacks and drinks for the week,947.36,86.99
2024-07-04,Personal,Net Banking,Personal care products,706.66,52.06
2024-08-14,Investment,Net Banking,Real estate investment,716.75,0.0
2024-08-23,Bills,Credit Card,Water bill payment,288.05,3.7
2024-08-13,Entertainment,Net Banking,Video game purchase,291.08,12.78
2024-08-25,Bills,Debit Card,Electricity bill payment,901.37,19.41
2024-08-04,Travel,UPI,Car rental for the trip,361.53,21.3
2024-08-23,Personal,Net Banking,Clothing purchase,110.17,4.77
2024-08-29,Travel,Net Banking,Car rental for the trip,26.44,0.7
2024-08-11,Subscriptions,Cash,Software subscription,994.38,85.36
2024-08-03,Groceries,Cash,Snacks and drinks for the week,466.24,23.3
2024-08-14,Personal,Net Banking,Personal care products,804.35,60.12
2024-08-18,Groceries,Net Banking,Snacks and drinks for the week,620.53,34.34
2024-08-02,Groceries,Cash,Household supplies,621.7,31.43
2024-08-19,Entertainment,UPI,Concert tickets,551.19,43.89
2024-08-01,Food,UPI,Snacks for cravings,411.87,3.12
2024-08-17,Gifts,Net Banking,Gift for a colleague,355.86,3.88
2024-08-07,Personal,UPI,Clothing purchase,165.55,14.04
2024-08-01,Investment,Cash,Investment in startup,620.94,0.0
2024-08-05,Groceries,UPI,Household supplies,201.95,5.3
2024-08-18,Entertainment,Debit Card,Streaming service subscription,929.33,32.38
2024-08-23,Travel,Net Banking,Hotel booking for vacation,902.23,15.34
2024-08-17,Subscriptions,Cash,Online course fee,341.56,6.37
2024-08-13,Personal,Debit Card,Personal care products,91.49,5.36
2024-08-03,Food,Debit Card,Snacks for cravings,950.17,62.83
2024-08-21,Investment,Net Banking,Dividend reinvestment,282.22,0.0
2024-08-14,Transportation,UPI,Uber ride to the airport,246.16,14.73
2024-08-02,Entertainment,Credit Card,Concert tickets,239.46,3.25
2024-08-24,Groceries,Credit Card,Household supplies,774.59,54.02
2024-08-04,Personal,Debit Card,Hobby supplies,21.42,0.43
2024-08-04,Travel,UPI,Hotel booking for vacation,966.06,64.51
2024-08-18,Gifts,Cash,Birthday gift for a friend,360.27,7.2
2024-08-05,Bills,Cash,Water bill payment,958.56,87.28
2024-08-13,Subscriptions,Debit Card,Streaming service subscription,464.02,38.6
2024-08-08,Transportation,Cash,Parking fees,28.25,2.53
2024-08-03,Entertainment,UPI,Video game purchase,13.82,0.8
2024-08-29,Groceries,Cash,Household supplies,904.79,30.15
2024-08-01,Investment,Net Banking,Retirement account contribution,256.07,0.0
2024-08-21,Entertainment,Debit Card,Dining out with friends,196.45,9.14
2024-08-20,Personal,UPI,Hobby supplies,882.18,12.12
2024-08-19,Groceries,Net Banking,Snacks and drinks for the week,210.03,19.25
2024-08-16,Groceries,UPI,Weekly grocery shopping,399.33,28.28
2024-08-25,Entertainment,UPI,Streaming service subscription,474.76,16.56
2024-08-14,Bills,UPI,Insurance premium payment,500.95,27.65
2024-08-22,Gifts,Debit Card,Charity donation,840.32,24.26
2024-08-24,Bills,Debit Card,Internet service charge,752.95,19.65
2024-08-12,Transportation,Debit Card,Uber ride to the airport,367.4,11.18
2024-08-03,Investment,UPI,Bond investment,827.21,0.0
2024-08-07,Investment,Credit Card,Real estate investment,385.11,0.0
2024-08-20,Food,Credit Card,Takeout from a local diner,283.44,12.29
2024-08-10,Investment,Cash,Mutual fund contribution,937.65,0.0
2024-08-21,Subscriptions,Credit Card,Gym membership,143.08,11.41
2024-08-01,Gifts,Cash,Charity donation,27.73,0.7
2024-08-27,Bills,Cash,Electricity bill payment,245.14,8.79
2024-08-22,Personal,Net Banking,Hobby supplies,642.3,30.83
2024-08-02,Personal,UPI,Clothing purchase,843.16,58.6
2024-08-20,Personal,Net Banking,Clothing purchase,777.63,70.21
2024-08-17,Bills,Cash,Insurance premium payment,140.36,4.84
2024-08-28,Entertainment,Net Banking,Streaming service subscription,114.22,5.17
2024-08-20,Gifts,Credit Card,Holiday gift,202.37,12.56
2024-08-02,Travel,Cash,Car rental for the trip,313.09,19.38
2024-08-06,Bills,Credit Card,Water bill payment,794.85,51.03
2024-08-20,Food,Credit Card,Dinner at a restaurant,245.75,17.48
2024-08-27,Food,UPI,Takeout from a local diner,120.58,9.65
2024-08-11,Bills,UPI,Insurance premium payment,6.48,0.18
2024-08-27,Entertainment,Cash,Video game purchase,965.11,7.01
2024-08-18,Subscriptions,UPI,Gym membership,169.02,14.67
2024-08-11,Bills,Debit Card,Water bill payment,343.75,28.63
2024-08-15,Gifts,UPI,Charity donation,891.36,19.85
2024-08-25,Bills,Cash,Internet service charge,837.78,76.13
2024-08-04,Transportation,UPI,Taxi fare to a meeting,632.86,49.63
2024-08-20,Food,Credit Card,Takeout from a local diner,490.5,24.56
2024-08-22,Travel,UPI,Flight tickets to a destination,950.39,35.85
2024-08-06,Gifts,Debit Card,Gift for a colleague,33.35,2.33
2024-08-25,Food,Credit Card,Dinner at a restaurant,979.48,28.19
2024-08-06,Food,Debit Card,Snacks for cravings,602.46,24.98
2024-08-20,Groceries,UPI,Buying meat and dairy products,759.54,74.98
2024-08-30,Transportation,Net Banking,Parking fees,407.49,4.51
2024-08-12,Travel,Net Banking,Sightseeing tour tickets,515.15,26.35
2024-08-19,Bills,Credit Card,Insurance premium payment,813.41,30.29
2024-08-12,Bills,Credit Card,Mobile phone bill,222.27,0.7
2024-08-30,Entertainment,Credit Card,Streaming service subscription,848.87,45.27
2024-08-25,Transportation,Credit Card,Uber ride to the airport,782.68,73.08
2024-08-13,Groceries,Credit Card,Buying fresh produce,482.67,17.27
2024-08-18,Travel,Debit Card,Car rental for the trip,831.81,39.86
2024-08-20,Food,Cash,Snacks for cravings,305.41,14.74
2024-08-05,Bills,Debit Card,Electricity bill payment,195.34,12.98
2024-08-18,Transportation,Cash,Uber ride to the airport,806.01,15.03
2024-08-04,Entertainment,Cash,Dining out with friends,19.82,1.13
2024-08-14,Travel,UPI,Hotel booking for vacation,561.43,25.59
2024-08-18,Groceries,UPI,Buying fresh produce,954.28,72.7
2024-08-28,Personal,UPI,Personal care products,830.95,75.0
2024-08-07,Personal,Cash,Hobby supplies,596.98,51.32
2024-08-06,Transportation,Cash,Public transport monthly pass,309.71,27.53
2024-08-28,Subscriptions,UPI,Gym membership,496.81,18.21
2024-08-19,Personal,Net Banking,Books and stationery,464.31,11.66
2024-08-27,Bills,Net Banking,Internet service charge,592.72,4.91
2024-08-03,Subscriptions,Debit Card,Monthly magazine subscription,195.21,9.17
2024-08-28,Entertainment,Net Banking,Concert tickets,524.96,41.36
2024-08-24,Subscriptions,Credit Card,Monthly magazine subscription,58.95,5.75
2024-08-01,Entertainment,Cash,Streaming service subscription,443.35,31.92
2024-08-22,Food,Cash,Takeout from a local diner,906.69,36.31
2024-09-13,Bills,Net Banking,Water bill payment,342.83,15.99
2024-09-17,Gifts,UPI,Anniversary gift,925.15,11.66
2024-09-03,Investment,UPI,Investment in startup,379.41,0.0
2024-09-11,Investment,Credit Card,Retirement account contribution,726.23,0.0
2024-09-23,Personal,UPI,Clothing purchase,637.38,32.51
2024-09-06,Travel,Net Banking,Hotel booking for vacation,106.31,6.85
2024-09-28,Personal,Cash,Clothing purchase,88.28,2.8
2024-09-24,Groceries,Debit Card,Household supplies,947.47,27.46
2024-09-06,Bills,Credit Card,Insurance premium payment,665.65,56.44
2024-09-07,Personal,Net Banking,Clothing purchase,994.75,92.01
2024-09-21,Travel,UPI,Hotel booking for vacation,661.26,12.79
2024-09-18,Transportation,Net Banking,Uber ride to the airport,537.26,47.53
2024-09-26,Transportation,Net Banking,Gas for the car,599.54,44.26
2024-09-05,Food,UPI,Dinner at a restaurant,748.6,64.92
2024-09-15,Travel,Cash,Car rental for the trip,775.06,11.6
2024-09-18,Transportation,Net Banking,Taxi fare to a meeting,764.97,55.31
2024-09-14,Investment,Cash,Real estate investment,757.91,0.0
2024-09-25,Personal,UPI,Hobby supplies,47.96,3.36
2024-09-13,Personal,Credit Card,Clothing purchase,74.23,3.98
2024-09-16,Subscriptions,Credit Card,Software subscription,308.45,16.05
2024-09-27,Entertainment,UPI,Movie tickets for the weekend,632.36,54.98
2024-09-23,Transportation,Debit Card,Public transport monthly pass,504.93,2.26
2024-09-09,Gifts,Debit Card,Gift for a colleague,485.45,30.12
2024-09-23,Groceries,UPI,Weekly grocery shopping,536.81,30.12
2024-09-21,Investment,Debit Card,Bond investment,759.12,0.0
2024-09-02,Investment,Cash,Investment in startup,813.87,0.0
2024-09-10,Food,Credit Card,Coffee and pastries at a café,109.14,4.92
2024-09-10,Gifts,UPI,Holiday gift,897.33,29.46
2024-09-25,Bills,UPI,Water bill payment,360.07,33.64
2024-09-10,Subscriptions,Debit Card,Streaming service subscription,392.33,17.28
2024-09-03,Food,UPI,Coffee and pastries at a café,355.48,30.39
2024-09-27,Groceries,Debit Card,Buying meat and dairy products,509.5,44.11
2024-09-25,Gifts,Debit Card,Charity donation,197.09,0.88
2024-09-27,Groceries,Debit Card,Snacks and drinks for the week,541.0,9.7
2024-09-29,Food,Debit Card,Snacks for cravings,566.99,21.81
2024-09-07,Gifts,Cash,Anniversary gift,894.66,22.84
2024-09-12,Transportation,Net Banking,Uber ride to the airport,209.58,11.08
2024-09-28,Gifts,UPI,Holiday gift,733.8,26.27
2024-09-21,Bills,Cash,Internet service charge,493.57,7.92
2024-09-04,Groceries,Credit Card,Buying fresh produce,77.75,5.38
2024-09-21,Food,Net Banking,Takeout from a local diner,888.04,75.43
2024-09-02,Transportation,Cash,Public transport monthly pass,460.41,0.83
2024-09-25,Investment,Credit Card,Investment in startup,90.93,0.0
2024-09-27,Food,Debit Card,Dinner at a restaurant,770.66,8.63
2024-09-22,Groceries,Credit Card,Snacks and drinks for the week,321.01,29.64
2024-09-24,Food,Cash,Coffee and pastries at a café,380.3,35.71
2024-09-19,Bills,Debit Card,Water bill payment,263.28,25.15
2024-09-01,Food,UPI,Snacks for cravings,826.8,38.35
2024-09-16,Gifts,Net Banking,Holiday gift,206.26,17.86
2024-09-14,Groceries,Cash,Household supplies,138.76,2.73
2024-09-26,Transportation,Credit Card,Gas for the car,110.93,2.68
2024-09-04,Investment,Net Banking,Bond investment,574.74,0.0
2024-09-27,Food,UPI,Coffee and pastries at a café,155.04,7.11
2024-09-26,Travel,UPI,Sightseeing tour tickets,438.51,8.71
2024-09-05,Groceries,Credit Card,Buying meat and dairy products,803.73,41.29
2024-09-15,Subscriptions,UPI,Online course fee,306.0,5.91
2024-09-03,Entertainment,Credit Card,Concert tickets,915.45,12.18
2024-09-27,Transportation,Credit Card,Public transport monthly pass,227.45,11.03
2024-09-13,Bills,UPI,Mobile phone bill,384.45,10.16
2024-09-11,Travel,Net Banking,Hotel booking for vacation,137.44,1.73
2024-09-20,Investment,Cash,Stock purchase,139.55,0.0
2024-09-22,Groceries,Credit Card,Household supplies,183.98,6.48
2024-09-20,Personal,Debit Card,Books and stationery,508.11,43.09
2024-09-11,Gifts,UPI,Charity donation,439.98,10.39
2024-09-10,Groceries,Debit Card,Household supplies,63.96,1.09
2024-09-02,Food,UPI,Takeout from a local diner,333.16,30.73
2024-09-13,Groceries,UPI,Buying meat and dairy products,103.75,4.19
2024-09-19,Transportation,UPI,Public transport monthly pass,596.78,4.82
2024-09-17,Subscriptions,UPI,Streaming service subscription,420.3,21.41
2024-09-24,Entertainment,Debit Card,Movie tickets for the weekend,188.22,4.0
2024-09-01,Personal,Cash,Books and stationery,359.22,1.42
2024-09-15,Gifts,UPI,Birthday gift for a friend,81.72,7.33
2024-09-03,Travel,Cash,Car rental for the trip,975.41,36.2
2024-09-03,Investment,Credit Card,Retirement account contribution,886.3,0.0
2024-09-25,Entertainment,Cash,Streaming service subscription,122.11,8.62
2024-09-01,Investment,Net Banking,Retirement account contribution,819.25,0.0
2024-09-18,Food,Debit Card,Coffee and pastries at a café,8.42,0.06
2024-09-11,Bills,Net Banking,Mobile phone bill,129.98,0.25
2024-09-16,Entertainment,Debit Card,Dining out with friends,568.4,43.97
2024-09-26,Entertainment,UPI,Dining out with friends,974.28,5.74
2024-09-19,Bills,Credit Card,Mobile phone bill,752.74,7.47
2024-09-21,Transportation,Net Banking,Gas for the car,124.43,6.72
2024-09-09,Groceries,Debit Card,Household supplies,38.05,2.99
2024-09-28,Transportation,Credit Card,Gas for the car,255.75,5.37
2024-09-08,Personal,Debit Card,Clothing purchase,466.81,1.4
2024-09-26,Subscriptions,Cash,Online course fee,850.08,78.54
2024-09-21,Bills,UPI,Water bill payment,686.65,0.9
2024-09-25,Personal,Credit Card,Clothing purchase,667.79,66.37
2024-09-26,Gifts,Cash,Gift for a colleague,168.77,7.76
2024-09-12,Personal,Cash,Books and stationery,145.33,1.38
2024-09-24,Entertainment,Credit Card,Streaming service subscription,864.07,59.52
2024-09-26,Investment,Credit Card,Mutual fund contribution,296.67,0.0
2024-09-20,Subscriptions,Debit Card,Gym membership,17.61,1.65
2024-09-26,Investment,Debit Card,Retirement account contribution,916.69,0.0
2024-09-18,Travel,Credit Card,Hotel booking for vacation,851.05,24.37
2024-09-23,Entertainment,Credit Card,Concert tickets,251.61,0.87
2024-09-11,Personal,Debit Card,Clothing purchase,61.54,5.98
2024-09-14,Bills,Cash,Internet service charge,732.48,65.21
2024-09-27,Entertainment,Cash,Streaming service subscription,504.41,15.92
2024-09-13,Transportation,Debit Card,Taxi fare to a meeting,673.3,55.69
